Launch Date,Name,Launch Site,Contractor,Class,Sub-type,Ejector,Mission Type,Mission Status,Functional Status,Launch Vehicle
4/21/2013,Graham (PhoneSat 1b),WLPIS,NASA Ames,civ,1U,ISIPOD,T,5,D,Antares-110
4/26/2013,NEE 01 Pegaso,JSC,EXA,civ,1U,ISIPOD,T,4,N,Long March 2D
4/26/2013,TURKSAT 3USAT,JSC,Istanbul Technical University,uni,3U,PPOD,C,3,N,Long March 2D
4/26/2013,CubeBug-1,JSC,Ministry of Science Technology & Productive Innovation,civ,2U,PPOD,E,4,A,Long March 2D
5/7/2013,ESTCube-1,FRGUI,University of Tartu,uni,1U,PPOD,T,4,N,Vega
9/29/2013,POPACS 1/2/3,AFWTR,Utah State University,civ,3U,CSD,S,4,D,Falcon-9 v1.1
11/19/2013,ArduSat 1,TNSTA,NanoSatisfi,com,1U,J-SSOD,E,3,D,HTV 4
11/19/2013,PicoDragon,TNSTA,Vietnam National Satellite Center,civ,1U,J-SSOD,E,4,D,HTV 4
11/19/2013,ArduSat X,TNSTA,NanoSatisfi,com,1U,J-SSOD,E,4,D,HTV 4
11/20/2013,TechEdSat-3,TNSTA,San Jose State University,uni,3U,J-SSOD,T,4,D,HTV 4
11/20/2013,FireFly,WLPIS,NASA Goddard,civ,3U,PPOD,S,4,A,Minotaur-1
11/20/2013,ChargerSat,WLPIS,University of Alabama-Huntsville,uni,1U,PPOD,T,2,N,Minotaur-1
11/20/2013,Prometheus 1.1,WLPIS,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
11/20/2013,Lunar,WLPIS,Vermont Technical College,uni,1U,PPOD,T,4,A,Minotaur-1
11/20/2013,Prometheus 2.1,WLPIS,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
11/20/2013,PhoneSat 2.4,WLPIS,NASA Ames,civ,1U,PPOD,T,3,A,Minotaur-1
11/20/2013,CAPE 2,WLPIS,University of Louisiana,uni,1U,PPOD,E,4,D,Minotaur-1
11/20/2013,DragonSat,WLPIS,Drexel University,uni,1U,PPOD,T,2,N,Minotaur-1
11/20/2013,KYSat II,WLPIS,Kentucky Space,uni,1U,PPOD,T,4,N,Minotaur-1
11/20/2013,TJSat,WLPIS,Thomas Jefferson High School,uni,1U,PPOD,E,2,D,Minotaur-1
11/20/2013,ORSES,WLPIS,MilTec,mil,3U,PPOD,T,4,A,Minotaur-1
11/20/2013,ORS Tech 1,WLPIS,Johns Hopkins APL,mil,3U,PPOD,T,4,D,Minotaur-1
11/20/2013,SENSE SV1,WLPIS,Boeing,mil,3U,PPOD,T,4,D,Minotaur-1
11/20/2013,NPS-SCAT,WLPIS,Naval Postgraduate School,uni,1U,PPOD,T,3,A,Minotaur-1
11/20/2013,Prometheus 2.2,WLPIS,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
11/20/2013,Prometheus 1.2,WLPIS,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,D,Minotaur-1
11/20/2013,SENSE SV2,WLPIS,Boeing,mil,3U,PPOD,T,4,A,Minotaur-1
11/20/2013,Prometheus 3.1,WLPIS,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
11/20/2013,Prometheus 3.2,WLPIS,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,D,Minotaur-1
11/20/2013,COPPER,WLPIS,Saint Louis University,uni,1U,PPOD,T,2,N,Minotaur-1
11/20/2013,ORS Tech 2,WLPIS,Johns Hopkins APL,mil,3U,PPOD,T,4,D,Minotaur-1
11/20/2013,Horus,WLPIS,Lawrence Livermore National Laboratory,mil,3U,PPOD,T,2,N,Minotaur-1
11/20/2013,Black Knight,WLPIS,US Military Academy,uni,1U,PPOD,E,2,D,Minotaur-1
11/20/2013,Prometheus 4.1,WLPIS,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
11/20/2013,SPA-1 Trailblazer,WLPIS,COSMIAC,uni,1U,PPOD,T,2,N,Minotaur-1
11/20/2013,Prometheus 4.2,WLPIS,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
11/20/2013,SwampSat,WLPIS,University of Florida,uni,1U,PPOD,E,2,N,Minotaur-1
11/20/2013,Ho'oponopono-2,WLPIS,University of Hawaii,uni,3U,PPOD,C,2,N,Minotaur-1
11/21/2013,CubeBug 2 (Manolito),TTMTR,Ministry of Science Technology & Productive Innovation,civ,2U,ISIPOD,E,4,A,Dnepr-1
11/21/2013,NEE 02 Krysaor,TTMTR,EXA,civ,1U,ISIPOD,T,4,A,Dnepr-1
11/21/2013,PUCP-SAT 1,TTMTR,Pontifical Catholic University of Peru,uni,1U,PEPPOD,E,3,S,Dnepr-1
11/21/2013,FUNcube 1,TTMTR,Amsat-UK,civ,1U,ISIPOD,E,4,A,Dnepr-1
11/21/2013,HiNCube,TTMTR,Narvik University College,uni,1U,ISIPOD,E,2,N,Dnepr-1
11/21/2013,UWE 3,TTMTR,University of Würzburg,uni,1U,ISIPOD,E,4,A,Dnepr-1
11/21/2013,ZACUBE 1,TTMTR,Cape Peninsula University of Technology,uni,1U,ISIPOD,C,4,A,Dnepr-1
11/21/2013,OPTOS,TTMTR,INTA,civ,3U,ISIPOD,T,3,N,Dnepr-1
11/21/2013,Dove 4 (0712),TTMTR,Planet Labs,com,3U,PEPPOD,T,1,A,Dnepr-1
11/21/2013,CINEMA 2 (KHUSat-1),TTMTR,KyungHeeUniversity,civ,3U,ISIPOD,S,2,N,Dnepr-1
11/21/2013,CINEMA 3 (KHUSat-2),TTMTR,KyungHeeUniversity,civ,3U,ISIPOD,S,2,N,Dnepr-1
11/21/2013,Triton 1,TTMTR,ISIS-BV,com,3U,ISIPOD,C,3,N,Dnepr-1
11/21/2013,Delfi-n3Xt,TTMTR,Technical University of Delft,uni,3U,ISIPOD,T,4,N,Dnepr-1
11/21/2013,Dove 3 0711,TTMTR,Planet Labs,com,3U,ISIPOD,T,4,A,Dnepr-1
11/21/2013,GATOSS (GOMX 1),TTMTR,GOMSpace,com,2U,XPOD,E,4,A,Dnepr-1
11/21/2013,ICube 1,TTMTR,Institute of Space Technology Islamabad,uni,1U,PEPPOD,E,2,N,Dnepr-1
11/21/2013,HumSat-D,TTMTR,University of Vigo,uni,1U,PEPPOD,C,4,A,Dnepr-1
11/21/2013,VELOX-P 2,TTMTR,Nanyang Technological University,uni,1U,ISIPOD,E,4,N,Dnepr-1
11/21/2013,First-MOVE,TTMTR,Technical University of Munich,uni,1U,ISIPOD,T,3,N,Dnepr-1
12/6/2013,FIREBIRD 1,AFWTR,Montana State University,uni,1.5U,PPOD,S,4,A,Atlas-501
12/6/2013,FIREBIRD 2,AFWTR,Montana State University,uni,1.5U,PPOD,S,4,A,Atlas-501
12/6/2013,Aero-Cube 5a,AFWTR,Aerospace Corporation,mil,1U,PPOD,T,4,A,Atlas-501
12/6/2013,Aero-Cube 5b,AFWTR,Aerospace Corporation,mil,1U,PPOD,T,4,A,Atlas-501
12/6/2013,ALICE,AFWTR,Air Force Institute of Technology,mil,3U,PPOD,T,4,A,Atlas-501
12/6/2013,SNAP 3,AFWTR,Naval Postgraduate School,mil,1U,PPOD,T,4,A,Atlas-501
12/6/2013,M-Cubed-2,AFWTR,University of Michigan,uni,1U,PPOD,T,4,N,Atlas-501
12/6/2013,CUNYSat-1,AFWTR,City University of New York,uni,1U,PPOD,E,2,N,Atlas-501
12/6/2013,IPEX,AFWTR,Cal Poly,civ,3U,PPOD,T,4,A,Atlas-501
12/6/2013,SMDC-ONE 2.4,AFWTR,MilTec,mil,3U,PPOD,T,4,A,Atlas-501
12/6/2013,TacSat-6,AFWTR,AFRL,mil,3U,PPOD,T,4,A,Atlas-501
12/6/2013,SMDC-ONE 2.3,AFWTR,MilTec,mil,3U,PPOD,T,4,A,Atlas-501
2/11/2014,Flock-1 03,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/11/2014,Flock-1 04,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/11/2014,Flock-1 01,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/11/2014,Flock-1 02,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/12/2014,Flock-1 05,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/12/2014,Flock-1 06,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/13/2014,Flock-1 11,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/13/2014,Flock-1 12,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/14/2014,Flock-1 13,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/14/2014,Flock-1 15,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/14/2014,Flock-1 16,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/14/2014,Flock-1 14,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/15/2014,Flock-1 07,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/15/2014,Flock-1 09,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/15/2014,Flock-1 10,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/15/2014,Flock-1 08,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/25/2014,Flock-1 17,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/25/2014,Flock-1 18,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/26/2014,Flock-1 21,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/26/2014,Flock-1 22,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/26/2014,Flock-1 19,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/26/2014,Flock-1 20,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
