nro,launchDate,name,contractor,class,subType,ejector,missionType,missionStatus,functionalStatus,launchVehicle
175,11/21/2013,Dove 3 0711,Planet Labs,com,3U,ISIPOD,T,4,A,Dnepr-1
176,11/21/2013,Delfi-n3Xt,Technical University of Delft,uni,3U,ISIPOD,T,4,N,Dnepr-1
177,11/21/2013,CubeBug 2 (Manolito),Ministry of Science Technology & Productive Innovation,civ,2U,ISIPOD,E,4,A,Dnepr-1
178,11/21/2013,CINEMA 3 (KHUSat-2),KyungHeeUniversity,civ,3U,ISIPOD,S,2,N,Dnepr-1
179,11/21/2013,CINEMA 2 (KHUSat-1),KyungHeeUniversity,civ,3U,ISIPOD,S,2,N,Dnepr-1
180,12/6/2013,TacSat-6,AFRL,mil,3U,PPOD,T,4,A,Atlas-501
181,12/6/2013,SNAP 3,Naval Postgraduate School,mil,1U,PPOD,T,4,A,Atlas-501
182,12/6/2013,SMDC-ONE 2.4,MilTec,mil,3U,PPOD,T,4,A,Atlas-501
183,12/6/2013,SMDC-ONE 2.3,MilTec,mil,3U,PPOD,T,4,A,Atlas-501
184,12/6/2013,M-Cubed-2,University of Michigan,uni,1U,PPOD,T,4,N,Atlas-501
185,12/6/2013,IPEX,Cal Poly,civ,3U,PPOD,T,4,A,Atlas-501
186,12/6/2013,FIREBIRD 2,Montana State University,uni,1.5U,PPOD,S,4,A,Atlas-501
187,12/6/2013,FIREBIRD 1,Montana State University,uni,1.5U,PPOD,S,4,A,Atlas-501
188,12/6/2013,CUNYSat-1,City University of New York,uni,1U,PPOD,E,2,N,Atlas-501
189,12/6/2013,Aero-Cube 5b,Aerospace Corporation,mil,1U,PPOD,T,4,A,Atlas-501
190,12/6/2013,Aero-Cube 5a,Aerospace Corporation,mil,1U,PPOD,T,4,A,Atlas-501
191,12/6/2013,ALICE,Air Force Institute of Technology,mil,3U,PPOD,T,4,A,Atlas-501
192,2/11/2014,Flock-1 04,Planet Labs,com,3U,NRCSD,I,5,D,Antares
193,2/11/2014,Flock-1 03,Planet Labs,com,3U,NRCSD,I,5,D,Antares
194,2/11/2014,Flock-1 02,Planet Labs,com,3U,NRCSD,I,5,D,Antares
195,2/11/2014,Flock-1 01,Planet Labs,com,3U,NRCSD,I,5,D,Antares
196,2/12/2014,Flock-1 06,Planet Labs,com,3U,NRCSD,I,5,D,Antares
197,2/12/2014,Flock-1 05,Planet Labs,com,3U,NRCSD,I,5,D,Antares
198,2/13/2014,Flock-1 12,Planet Labs,com,3U,NRCSD,I,5,D,Antares
199,2/13/2014,Flock-1 11,Planet Labs,com,3U,NRCSD,I,5,D,Antares
200,2/14/2014,Flock-1 16,Planet Labs,com,3U,NRCSD,I,5,D,Antares
201,2/14/2014,Flock-1 15,Planet Labs,com,3U,NRCSD,I,5,D,Antares
202,2/14/2014,Flock-1 14,Planet Labs,com,3U,NRCSD,I,5,D,Antares
203,2/14/2014,Flock-1 13,Planet Labs,com,3U,NRCSD,I,5,D,Antares
204,2/15/2014,Flock-1 10,Planet Labs,com,3U,NRCSD,I,5,D,Antares
205,2/15/2014,Flock-1 09,Planet Labs,com,3U,NRCSD,I,5,D,Antares
206,2/15/2014,Flock-1 08,Planet Labs,com,3U,NRCSD,I,5,D,Antares
207,2/15/2014,Flock-1 07,Planet Labs,com,3U,NRCSD,I,5,D,Antares
208,2/25/2014,Flock-1 18,Planet Labs,com,3U,NRCSD,I,5,D,Antares
209,2/25/2014,Flock-1 17,Planet Labs,com,3U,NRCSD,I,5,D,Antares
210,2/26/2014,Flock-1 22,Planet Labs,com,3U,NRCSD,I,5,D,Antares
211,2/26/2014,Flock-1 21,Planet Labs,com,3U,NRCSD,I,5,D,Antares
212,2/26/2014,Flock-1 20,Planet Labs,com,3U,NRCSD,I,5,D,Antares
213,2/26/2014,Flock-1 19,Planet Labs,com,3U,NRCSD,I,5,D,Antares
214,2/27/2014,OPUSAT (CosMoz),Osaka Prefecture University,uni,1U,JPOD,T,3,D,H-2A-202
215,2/27/2014,KSAT 2 (Hayato 2),Kagoshima University,uni,1U,JPOD,T,3,D,H-2A-202
216,2/27/2014,INVADER (CO-77),Tama Art University,uni,1U,JPOD,E,5,D,H-2A-202
217,2/27/2014,IFT 1 (Yui),University of Tsukuba,uni,1U,JPOD,E,2,D,H-2A-202
218,2/27/2014,Flock-1 26,Planet Labs,com,3U,NRCSD,I,5,D,Antares
219,2/27/2014,Flock-1 25,Planet Labs,com,3U,NRCSD,I,5,D,Antares
220,2/27/2014,Flock-1 24,Planet Labs,com,3U,NRCSD,I,5,D,Antares
221,2/27/2014,Flock-1 23,Planet Labs,com,3U,NRCSD,I,5,D,Antares
222,2/28/2014,UAPSat,Pontifical Catholic University of Peru,uni,1U,NRCSD,E,2,D,Antares
223,2/28/2014,SkyCube,Southern Stars Group LLC,com,1U,NRCSD,I,2,D,Antares
224,2/28/2014,LituanicaSAT 1,Kaunas University of Technology,uni,1U,NRCSD,E,4,D,Antares
225,2/28/2014,LitSat 1,Kaunas University of Technology,uni,1U,NRCSD,E,5,D,Antares
226,2/28/2014,Flock-1 28,Planet Labs,com,3U,NRCSD,I,5,D,Antares
227,2/28/2014,Flock-1 27,Planet Labs,com,3U,NRCSD,I,5,D,Antares
228,2/28/2014,Ardusat 2,NanoSatisfi,com,2U,NRCSD,E,2,D,Antares
229,4/18/2014,TSAT (TestSat-Lite),Taylor University,uni,2U,PPOD,T,4,D,Falcon-9 v1.1
230,4/18/2014,SporeSat,NASA Ames,civ,3U,PPOD,S,5,D,Falcon-9 v1.1
231,4/18/2014,PhoneSat 2.5,NASA Ames,civ,1U,PPOD,T,5,D,Falcon-9 v1.1
232,4/18/2014,KickSat 1,Cornell University,uni,3U,PPOD,T,3,D,Falcon-9 v1.1
233,4/18/2014,ALL-STAR/THEIA,Colorado Space Grant Consortium,uni,3U,PPOD,S,2,D,Falcon-9 v1.1
234,6/19/2014,Tigrisat,La Sapienza University of Rome,uni,3U,PEPPOD,S,4,A,Dnepr
235,6/19/2014,QB50P2 (EO-80),von Karman Institute,com,2U,ISIPOD,T,4,A,Dnepr
236,6/19/2014,QB50P1 (EO-79),von Karman Institute,com,2U,ISIPOD,T,4,A,Dnepr
237,6/19/2014,PolyITAN 1,National Technical University of Ukraine,uni,1U,ISIPOD,E,4,A,Dnepr
238,6/19/2014,Perseus-M 2,Dauria Aerospace,com,6U,???,C,4,A,Dnepr
239,6/19/2014,Perseus-M 1,Dauria Aerospace,com,6U,???,C,4,A,Dnepr
240,6/19/2014,POPSAT-HIP,Microspace Rapid Pte Ltd,com,3U,ISIPOD,T,4,A,Dnepr
241,6/19/2014,PACE,National Cheng Kung University,uni,2U,ISIPOD,E,2,N,Dnepr
242,6/19/2014,NanoSatC-Br 1,INPE Southern Regional Space Research Center,civ,1U,ISIPOD,S,3,N,Dnepr
243,6/19/2014,Lemur 1,NanoSatisfi,com,3U,PPOD,T,?,A,Dnepr
244,6/19/2014,Flock-1c 11 090D,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
245,6/19/2014,Flock-1c 10 090C,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
246,6/19/2014,Flock-1c 09 090B,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
247,6/19/2014,Flock-1c 08 090A,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
248,6/19/2014,Flock-1c 07 0909,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
249,6/19/2014,Flock-1c 06 0908,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
250,6/19/2014,Flock-1c 05 0907,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
251,6/19/2014,Flock-1c 04 0906,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
252,6/19/2014,Flock-1c 03 0905,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
253,6/19/2014,Flock-1c 02 0904,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
254,6/19/2014,Flock-1c 01 0903,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
255,6/19/2014,Duchifat 1,Space Lab Herzliya Science Center,uni,1U,ISIPOD,E,4,A,Dnepr
256,6/19/2014,DTUSat 2,Danmarks Tekniske Universitet,uni,1U,ISIPOD,S,2,N,Dnepr
257,6/19/2014,AeroCube 6B,Aerospace Corporation,mil,0.5U,PPOD,S,4,A,Dnepr
258,6/19/2014,AeroCube 6A,Aerospace Corporation,mil,0.5U,PPOD,S,4,A,Dnepr
259,6/19/2014,ANTELSAT,Facultad de Ingeniería de la Universidad de la República,uni,2U,PPOD,E,4,A,Dnepr
260,6/30/2014,VELOX I-NSAT,Nanyang Technological University,uni,3U,ISIPOD,T,3,A,PSLV-CA
261,7/8/2014,UKube 1,ClydeSpace,civ,3U,ISIPOD,T,5,N,Soyuz-2-1b
262,8/19/2014,Flock-1b 24,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
263,8/19/2014,Flock-1b 23,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
264,8/19/2014,Chasqui 1,Universidad Nacional de Ingeniería del Perú,uni,1U,Hand,E,2,D,Progress-M 22M
265,8/20/2014,Flock-1b 26,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
266,8/20/2014,Flock-1b 25,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
267,8/20/2014,Flock-1b 16,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
268,8/20/2014,Flock-1b 15,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
269,8/21/2014,Flock-1b 02,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
270,8/21/2014,Flock-1b 01,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
271,8/23/2014,Flock-1b 08,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
272,8/23/2014,Flock-1b 07,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
273,9/1/2014,Flock-1b 20,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
274,9/1/2014,Flock-1b 19,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
275,9/1/2014,Flock-1b 14,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
276,9/1/2014,Flock-1b 13,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
277,9/1/2014,Flock-1b 04,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
278,9/1/2014,Flock-1b 03,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
279,9/5/2014,Flock-1b 18,Planet Labs,com,3U,NRCSD,I,5,D,Antares-120
280,9/5/2014,Flock-1b 17,Planet Labs,com,3U,NRCSD,I,5,D,Antares-120
281,10/28/2014,RACE,University of Texas,uni,3U,NRCSD,T,1,D,Antares
282,10/28/2014,GOMX 2,GOMSpace,com,2U,NRCSD,T,1,D,Antares
283,10/28/2014,Flock-1d 26,Planet Labs,com,3U,NRCSD,I,1,D,Antares
284,10/28/2014,Flock-1d 25,Planet Labs,com,3U,NRCSD,I,1,D,Antares
285,10/28/2014,Flock-1d 24,Planet Labs,com,3U,NRCSD,I,1,D,Antares
286,10/28/2014,Flock-1d 23,Planet Labs,com,3U,NRCSD,I,1,D,Antares
287,10/28/2014,Flock-1d 22,Planet Labs,com,3U,NRCSD,I,1,D,Antares
288,10/28/2014,Flock-1d 21,Planet Labs,com,3U,NRCSD,I,1,D,Antares
289,10/28/2014,Flock-1d 20,Planet Labs,com,3U,NRCSD,I,1,D,Antares
290,10/28/2014,Flock-1d 19,Planet Labs,com,3U,NRCSD,I,1,D,Antares
291,10/28/2014,Flock-1d 18,Planet Labs,com,3U,NRCSD,I,1,D,Antares
292,10/28/2014,Flock-1d 17,Planet Labs,com,3U,NRCSD,I,1,D,Antares
293,10/28/2014,Flock-1d 16,Planet Labs,com,3U,NRCSD,I,1,D,Antares
294,10/28/2014,Flock-1d 15,Planet Labs,com,3U,NRCSD,I,1,D,Antares
295,10/28/2014,Flock-1d 14,Planet Labs,com,3U,NRCSD,I,1,D,Antares
296,10/28/2014,Flock-1d 13,Planet Labs,com,3U,NRCSD,I,1,D,Antares
297,10/28/2014,Flock-1d 12,Planet Labs,com,3U,NRCSD,I,1,D,Antares
298,10/28/2014,Flock-1d 11,Planet Labs,com,3U,NRCSD,I,1,D,Antares
299,10/28/2014,Flock-1d 10,Planet Labs,com,3U,NRCSD,I,1,D,Antares
300,10/28/2014,Flock-1d 09,Planet Labs,com,3U,NRCSD,I,1,D,Antares
301,10/28/2014,Flock-1d 08,Planet Labs,com,3U,NRCSD,I,1,D,Antares
302,10/28/2014,Flock-1d 07,Planet Labs,com,3U,NRCSD,I,1,D,Antares
303,10/28/2014,Flock-1d 06,Planet Labs,com,3U,NRCSD,I,1,D,Antares
304,10/28/2014,Flock-1d 05,Planet Labs,com,3U,NRCSD,I,1,D,Antares
305,10/28/2014,Flock-1d 04,Planet Labs,com,3U,NRCSD,I,1,D,Antares
306,10/28/2014,Flock-1d 03,Planet Labs,com,3U,NRCSD,I,1,D,Antares
307,10/28/2014,Flock-1d 02,Planet Labs,com,3U,NRCSD,I,1,D,Antares
308,10/28/2014,Flock-1d 01,Planet Labs,com,3U,NRCSD,I,1,D,Antares
309,10/28/2014,Arkyd-3,"Planetary Resources, Inc.",com,3U,NRCSD,T,1,D,Antares-120
310,1/31/2015,GRIFEX,NASA JPL,civ,3U,PPOD,T,4,A,Delta-7320
311,1/31/2015,FIREBIRD-IIB,Montana State University,uni,1.5U,PPOD,S,4,A,Delta-7320
312,1/31/2015,FIREBIRD-IIA,Montana State University,uni,1.5U,PPOD,S,4,A,Delta-7320
313,1/31/2015,EXOCUBE (CP10),Cal Poly,uni,3U,PPOD,S,3,A,Delta-7320
314,2/5/2015,AESP-14,Aeronautics Technological Institute,civ,1U,J-SSOD,T,2,D,Falcon-9
315,2/27/2015,Flock-1b 28 081B,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
316,2/27/2015,Flock-1b 27 0823,Planet Labs,com,3U,NRCSD,I,4,A,Antares-120
317,3/2/2015,Flock-1b 22 081F,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
318,3/2/2015,Flock-1b 21 0817,Planet Labs,com,3U,NRCSD,I,4,A,Antares-120
319,3/2/2015,Flock-1b 10 081C,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
320,3/2/2015,Flock-1b 09,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
321,3/3/2015,Flock-1d' 02 0C02,Planet Labs,com,3U,NRCSD,I,4,A,Falcon-9
322,3/3/2015,Flock-1d' 01 0A16,Planet Labs,com,3U,NRCSD,I,4,A,Falcon-9
323,3/3/2015,Flock-1b 06 0901,Planet Labs,com,3U,NRCSD,I,4,A,Antares-120
324,3/3/2015,Flock-1b 05 0822,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
325,3/4/2015,TechEdSat 4 (TES 4),San Jose State University,uni,3U,NRCSD,T,2,D,Antares-120
326,3/4/2015,MicroMAS,MIT,uni,3U,NRCSD,S,2,D,Antares-120
327,3/4/2015,Lambdasat,Greek Silicon Valley folks,uni,1U,NRCSD,T,3,D,Antares-120
328,3/4/2015,GEARRSAT,NearSpace Launch,com,3U,NRCSD,T,2,A,Antares-120
329,3/5/2015,Flock-1b 12 0824,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
330,3/5/2015,Flock-1b 11 0815,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
331,5/20/2015,USS Langley,US Naval Academy,uni,3U,PPOD,T,2,A,Atlas-5 (501)
