nro,launchDate,name,contractor,class,subType,ejector,missionType,missionStatus,functionalStatus,launchVehicle
391,10/8/2015,SINOD-D-3,Tyvak,com,3U,P-POD,T,?,A,Atlas-5(401)
392,10/8/2015,SINOD-D-1,Tyvak,com,3U,P-POD,T,?,A,Atlas-5(401)
393,10/8/2015,PropCube Merryweather,Naval Postgraduate School,uni,1U,P-POD,S,?,A,Atlas-5(401)
394,10/8/2015,PropCube Flora,Naval Postgraduate School,uni,1U,P-POD,S,?,A,Atlas-5(401)
395,10/8/2015,LMRST,NASA JPL,civ,3U,P-POD,T,?,A,Atlas-5(401)
396,10/8/2015,GRACE, ,mil,3U,P-POD,C,?,A,Atlas-5(401)
397,10/8/2015,Fox 1A (AO-85),AMSAT,com,1U,P-POD,C,4,A,Atlas-5(401)
398,10/8/2015,Flock-2b 12 (0C51),Planet Labs,com,3U,NRCSD,I,1,A,Falcon-9
399,10/8/2015,Flock-2b 11 (0C71),Planet Labs,com,3U,NRCSD,I,1,A,Falcon-9
400,10/8/2015,BisonSat,Salish Kootenai College,uni,1U,P-POD,E,?,A,Atlas-5(401)
401,10/8/2015,Aerocube 7 (OCSD-A),Aerospace Corporation,mil,1.5U,P-POD,T,3,A,Atlas-5(401)
402,10/8/2015,Aerocube 5c,Aerospace Corporation,mil,1.5U,P-POD,T,?,A,Atlas-5(401)
403,10/8/2015,ARC-1,University of Alaska Fairbanks,uni,1U,P-POD,E,?,A,Atlas-5(401)
404,10/9/2015,Flock-2b 14 (0C47),Planet Labs,com,3U,NRCSD,I,0,A,Falcon-9
405,10/9/2015,Flock-2b 13 (0C74),Planet Labs,com,3U,NRCSD,I,0,A,Falcon-9
406,11/3/2015,Supernova-Beta,Pumpkin,com,6U,CSD,I,1,A,SPARK
407,11/3/2015,STACEM,Space Dynamics Laboratory,civ,3U,NLAS,I,1,A,SPARK
408,11/3/2015,PrintSat,Montana State University,uni,1U,NLAS,T,1,A,SPARK
409,11/3/2015,EDSN 8,NASA Ames,civ,1.5U,NLAS,T,1,A,SPARK
410,11/3/2015,EDSN 7,NASA Ames,civ,1.5U,NLAS,T,1,A,SPARK
411,11/3/2015,EDSN 6,NASA Ames,civ,1.5U,NLAS,T,1,A,SPARK
412,11/3/2015,EDSN 5,NASA Ames,civ,1.5U,NLAS,T,1,A,SPARK
413,11/3/2015,EDSN 4,NASA Ames,civ,1.5U,NLAS,T,1,A,SPARK
414,11/3/2015,EDSN 3,NASA Ames,civ,1.5U,NLAS,T,1,A,SPARK
415,11/3/2015,EDSN 2,NASA Ames,civ,1.5U,NLAS,T,1,A,SPARK
416,11/3/2015,EDSN 1,NASA Ames,civ,1.5U,NLAS,T,1,A,SPARK
